id,type,name,price,description,img_src
10001,tart,cannoli tart,10.99,Cream-filled tart,http://www.publix.com/images/products/90000/094051-600x600-A.jpg
10002,tart,oblong berry european tart,9.99,"Berry European Cream Tart made from buttery dough shell, filled with delectable cream and garnished with fresh blueberries and raspberries.",http://www.publix.com/images/products/20000/021469-600x600-A.jpg
10003,tart,oblong chocolate ganache tart,9.99,"Strawberry ganache tart made with buttery tart dough, filled with European cream and fresh strawberry filling, and garnished with chocolate ganache.",http://www.publix.com/images/products/90000/094912-600x600-A.jpg
10004,tart,round european cream pineapple tart,11.99,Pineapple Berry Tart filled with delectable European cream and garnished with fresh pineapple and berries.,http://www.publix.com/images/products/90000/093641-600x600-A.jpg
10005,tart,round european cream triple berry tart,11.99,"Triple-Berry Tart baked to perfection, fully topped with fruits and garnished with dark chocolate.",http://www.publix.com/images/products/90000/091092-600x600-A.jpg
10006,pie,apple pie,5.59,"The classic. Made with Crispin and Greening apples and cinnamon, with plenty of chunks of fruit in the filling. Baked fresh in bakery.",http://www.publix.com/images/products/90000/094240-600x600-A.jpg
10007,pie,dutch apple pie,5.59,"The classic twist. Made with Crispin and Greening apples and cinnamon, loaded with chunks of fruit in the filling and topped with toasted streusel. Baked fresh in bakery.",http://www.publix.com/images/products/90000/094241-600x600-A.jpg
10008,pie,small apple pie,3.39,"Made with sugar and the perfect blend of spices, baked fresh daily in our traditional flaky crust.",http://www.publix.com/images/products/90000/094245-600x600-A.jpg
10009,pie,small dutch apple pie,3.39,"The classic twist. Made with Crispin and Greening apples and cinnamon, loaded with chunks of fruit in the filling and topped with toasted streusel.",http://www.publix.com/images/products/90000/094246-600x600-A.jpg
10010,pie,small cherry pie,3.39,Flaky crust filled with delicious cherries.,http://www.publix.com/images/products/90000/094248-600x600-A.jpg
10011,pie,small peach pie,3.39,The perfect size. Our flaky crust is filled with luscious peaches and baked fresh every day.,http://www.publix.com/images/products/90000/094247-600x600-A.jpg
10012,pie,lemon meringue pie,8.29,"This classic creation features smooth lemon filling that's not too tart and not too sweet, topped with freshly made meringue.",http://www.publix.com/images/products/15000/019540-600x600-A.jpg
10013,pie,key lime pie,8.29,"With its real graham-cracker crust and authentic Key lime filling, it’s the perfect ending to a perfect meal.",http://www.publix.com/images/products/95000/095448-600x600-A.jpg
10014,pie,sweet potato pie,8.69,"Made using fresh sweet potatoes and just the right amount of spices, this pie is baked fresh daily so you can enjoy it all fall.",http://www.publix.com/images/products/95000/095490-600x600-A.jpg
10015,pie,coconut custard pie,9.99,"Cuckoo for coconut? You'll love this creamy and wonderfully sweet custard pie, filled with lots of coconut and baked fresh store.",http://www.publix.com/images/products/95000/095468-600x600-A.jpg
10016,cake,chocolate ganache supreme cake,24.99,"Four layers of chocolate or vanilla cake, chocolate or vanilla whipped topping, and chocolate ganache icing wrapped with ribbons of fudge.",http://www.publix.com/images/products/90000/094085-600x600-A.jpg
10017,cake,southern style red velvet cake,24.99,Four layers of moist red velvet cake filled and covered with smooth cream cheese icing.,http://www.publix.com/images/products/70000/071646-600x600-A.jpg
10018,cake,chantilly cake,25.99,"Carefully handcrafted with vanilla cake, almond flavoring, and Chantilly-mascarpone cream frosting to be delicious.",http://www.publix.com/images/products/85000/085054-600x600-A.jpg
10019,cake,strawberry limonata cake,25.99,"The Strawberry Limonata cake has three layers of vanilla cake filled with lemon filling, fresh chopped strawberries, and lemon zest.",http://www.publix.com/images/products/90000/094991-600x600-A.jpg
